features,TCGA-COAD;Training;concordance_index,TCGA-COAD;Validation;concordance_index,TCGA-COAD;Filtration;concordance_index,k
GABPB1,0.6468737711364531,0.5338229609586393,0.4541449739687625,1
ITGA8,0.6449075894612663,0.4955546965597217,0.5342410893071686,1
BRD4,0.6374360990955564,0.5268650947042907,0.5182218662394874,1
KDM4B,0.6307510813999213,0.47816003092384995,0.5282338806567881,1
ZBTB40,0.6264254817145104,0.4221105527638191,0.4565478574289147,1
LMO2,0.6252457727093983,0.4391186702744492,0.4617541049259111,1
NR1H2,0.624852536374361,0.5400077309625049,0.525830997196636,1
FXR2,0.6224931183641369,0.5079242365674527,0.4893872647176612,1
ITGA5,0.6197404640188754,0.5276381909547738,0.5350420504605526,1
HEXIM1,0.619347227683838,0.4708156165442597,0.487384861834201,1
TBX2,0.6169878096736139,0.4132199458832624,0.4132959551461754,1
MED26,0.6158081006685018,0.4901430228063394,0.4649579495394474,1
DMAP1,0.6146283916633897,0.405102435253189,0.3796555867040449,1
ZNF770,0.6142351553283524,0.4313877077696173,0.4461353624349219,1
COL9A3,0.6130554463232403,0.4248163896405102,0.4201041249499399,1
MLX,0.6114825009830909,0.5172013915732508,0.5454545454545454,1
OGG1,0.6103027919779788,0.500966370313104,0.4297156587905487,1
FN1,0.6091230829728667,0.4414379590258987,0.5682819383259912,1
ELF1,0.6079433739677547,0.5156551990722845,0.5871045254305166,1
CHD4,0.6032245379473063,0.4619250096637032,0.4653584301161394,1
NFIC,0.6032245379473063,0.4151526865094704,0.5054064877853424,1
LAMB1,0.6016515926071571,0.500966370313104,0.5622747296756108,1
CNOT3,0.6016515926071571,0.5809818322381136,0.512615138165799,1
GLI1,0.6016515926071571,0.480092771550058,0.4797757308770525,1
ZNF639,0.6004718836020448,0.5450328565906455,0.4409291149379255,1
MAFK,0.5996854109319701,0.6327792810204871,0.5278334000800962,1
BAP1,0.5985057019268579,0.5264785465790491,0.4577492991589908,1
MEF2A,0.5977192292567833,0.4742945496714341,0.446936323588306,1
hsa-miR-3607-3p|0,0.5965395202516712,0.5287978353304986,0.5742891469763717,1
MYOCD,0.5961462839166339,0.488596830305373,0.5722867440929115,1
SNAI1,0.5953598112465592,0.5659064553536916,0.671205446535843,1
hsa-miR-200b-3p|0,0.5949665749115218,0.4511016621569385,0.6043251902282739,1
GATA3,0.5949665749115218,0.4870506378044066,0.4769723668402083,1
CD47,0.5941801022414471,0.5083107846926942,0.5522627152583099,1
CUL4A,0.5937868659064097,0.4352531890220333,0.5114136964357229,1
PCBP1,0.5933936295713724,0.4808658678005412,0.5074088906688026,1
POU5F1,0.5918206842312229,0.3865481252415926,0.4381257509010813,1
GATAD1,0.5918206842312229,0.5643602628527251,0.4765718862635162,1
HMGXB4,0.5902477388910735,0.6300734441437961,0.5871045254305166,1
ZNF263,0.5902477388910735,0.4530344027831465,0.44453344012815377,1
ETV4,0.5894612662209988,0.42829532276768456,0.5438526231477774,1
BRD3,0.5894612662209988,0.5759567066099729,0.5758910692831398,1
HNF4A,0.5890680298859614,0.4329339002705837,0.5146175410492592,1
FOXP1,0.5886747935509241,0.4820255121762659,0.42851421706047255,1
SIX5,0.587495084545812,0.549284885968303,0.5839006808169803,1
EPAS1,0.587495084545812,0.542713567839196,0.5418502202643172,1
GATAD2A,0.5867086118757373,0.4986470815616544,0.4749699639567481,1
ZNF574,0.5859221392056626,0.5380749903362969,0.5338406087304766,1
CEBPA,0.5851356665355879,0.5705450328565906,0.5342410893071686,1
SLC30A9,0.5835627211954385,0.5365287978353305,0.7064477372847416,1
NR2F1,0.5827762485253637,0.4217240046385775,0.3776531838205847,1
PROX1,0.581989775855289,0.5195206803247004,0.566680016019223,1
RXRA,0.5800235941801022,0.3761113258600696,0.4124949939927913,1
ITGB4,0.5800235941801022,0.5048318515655199,0.4713656387665198,1
ZBTB11,0.5800235941801022,0.43834557402396596,0.4561473768522227,1
CASZ1,0.5784506488399528,0.4727483571704677,0.5314377252703244,1
AGO1,0.5784506488399528,0.5976034016235021,0.499799759711654,1
ZBED1,0.5776641761698781,0.3896405102435253,0.5742891469763717,1
PTBP1,0.5772709398348408,0.4526478546579049,0.4305166199439327,1
TCF12,0.5772709398348408,0.4433706996521067,0.4533440128153785,1
MIER2,0.576484467164766,0.5666795516041747,0.6115338406087305,1
FOXP3,0.576484467164766,0.5995361422497101,0.5274329195034041,1
RB1,0.5760912308297287,0.4410514109006571,0.5947136563876652,1
ZNF76,0.5760912308297287,0.45728643216080395,0.4553464156988386,1
FANCL,0.5756979944946913,0.5415539234634712,0.4705646776131358,1
ASXL1,0.5753047581596539,0.44684963277928097,0.4501401682018422,1
BHLHE40,0.5741250491545419,0.4974874371859296,0.42290748898678415,1
SOX5,0.5741250491545419,0.5102435253189022,0.4981978374048859,1
MEIS2,0.5737318128195045,0.5612678778507925,0.526231477773328,1
GREB1,0.5737318128195045,0.4862775415539234,0.4521425710853024,1
POU2F2,0.5725521038143925,0.469655972168535,0.5282338806567881,1
ESRRA,0.5713723948092804,0.5098569771936606,0.44773728474169,1
KDM5C,0.5713723948092804,0.5635871666022421,0.5310372446936323,1
SUPT5H,0.5713723948092804,0.5840742172400464,0.5170204245094113,1
SIN3B,0.5705859221392057,0.6551990722844995,0.619142971565879,1
NFKB2,0.569799449469131,0.5307305759567066,0.5847016419703644,1
SP4,0.5694062131340936,0.4843448009277155,0.4829795754905887,1
MXD3,0.5694062131340936,0.4766138384228836,0.3956748097717261,1
GLIS3,0.5690129767990563,0.4209509083880943,0.4881858229875851,1
LDB1,0.5682265041289816,0.4398917665249323,0.44533440128153773,1
HMGN3,0.5658670861187574,0.4395052183996908,0.499799759711654,1
PKNOX1,0.5654738497837201,0.5040587553150367,0.5210252302763316,1
PBX2,0.5654738497837201,0.5693853884808658,0.5826992390869042,1
HMGA1,0.5654738497837201,0.5295709315809818,0.4805766920304365,1
HIRA,0.5642941407786078,0.5276381909547738,0.4553464156988386,1
KDM6B,0.5642941407786078,0.5083107846926942,0.5410492591109332,1
DAG1,0.5642941407786078,0.38345574023965984,0.3648378053664397,1
DDX20,0.5639009044435705,0.5875531503672207,0.6231477773327994,1
RFX1,0.5639009044435705,0.540780827212988,0.5398478173808571,1
KLF16,0.5639009044435705,0.5689988403556243,0.4649579495394474,1
SP3,0.5635076681085333,0.5102435253189022,0.5622747296756108,1
ZNF366,0.5635076681085333,0.551217626594511,0.4811774128954746,1
ZBTB17,0.5623279591034211,0.40394279087746426,0.40168201842210655,1
SIN3A,0.5615414864333464,0.511403169694627,0.4421305566680016,1
SMAD5,0.5615414864333464,0.3645148821028218,0.4333199839807769,1
CHD2,0.5615414864333464,0.6142249710088906,0.5386463756507809,1
CHD8,0.559968541093197,0.5334364128333977,0.4100921105326392,1
RUNX2,0.559968541093197,0.5778894472361809,0.4905887064477373,1
ADNP,0.559968541093197,0.507537688442211,0.4917901481778134,1
THBS4,0.5591820684231223,0.4824120603015075,0.5182218662394874,1
TFDP1,0.5591820684231223,0.4831851565519907,0.4641569883860633,1
CDKN1B,0.5591820684231223,0.5574023965983765,0.6343612334801763,1
GMEB2,0.5591820684231223,0.4425976034016235,0.4365238285943132,1
ASCL2,0.5587888320880849,0.5110166215693854,0.4369243091710052,1
MIER1,0.5583955957530475,0.6822574410514111,0.5714857829395275,1
ZNF92,0.5580023594180102,0.4998067259373792,0.4613536243492191,1
BACH1,0.5576091230829728,0.4483958252802474,0.4132959551461754,1
RNF2,0.5576091230829728,0.4897564746810978,0.38085702843412095,1
STAT5B,0.5576091230829728,0.5724777734827986,0.4489387264717661,1
BRCA1,0.5572158867479355,0.5771163509856977,0.5374449339207048,1
BACH2,0.5568226504128981,0.4797062234248164,0.5066079295154186,1
hsa-miR-429|0,0.5568226504128981,0.3734054889833784,0.6091309571485783,1
STAT4,0.5568226504128981,0.5570158484731349,0.5034040849018823,1
ETV2,0.5564294140778608,0.4530344027831465,0.5318382058470165,1
ESCO2,0.5564294140778608,0.5747970622342482,0.6059271125350421,1
ZNF335,0.5564294140778608,0.3865481252415926,0.3243892671205447,1
ZNF444,0.5564294140778608,0.5999226903749517,0.513015618742491,1
SPP1,0.555642941407786,0.5396211828372632,0.5038045654785743,1
PEX2,0.555642941407786,0.511403169694627,0.5907088506207449,1
MED1,0.5552497050727487,0.42442984151526864,0.4793752503003604,1
ZNF654,0.5552497050727487,0.33822960958639353,0.4092911493792551,1
ZBTB6,0.5552497050727487,0.5500579822187862,0.5202242691229475,1
TAF3,0.5548564687377113,0.5338229609586393,0.4945935122146576,1
SS18,0.5548564687377113,0.5539234634712021,0.4937925510612735,1
BCL6,0.5544632324026739,0.559721685349826,0.5378454144973969,1
YBX1,0.5540699960676366,0.5423270197139544,0.5486583900680817,1
TRIM28,0.5540699960676366,0.5110166215693854,0.4857829395274329,1
ERCC6,0.5536767597325993,0.4480092771550058,0.4489387264717661,1
hsa-miR-196a-5p|0,0.5536767597325993,0.4538074990336297,0.5847016419703644,1
E2F1,0.5536767597325993,0.5226130653266332,0.4457348818582299,1
JUND,0.5532835233975619,0.5183610359489756,0.4485382458950741,1
AGRN,0.5532835233975619,0.5191341321994588,0.5935122146575891,1
MBD3,0.5532835233975619,0.5214534209509084,0.5618742490989187,1
hsa-miR-32-5p|0,0.5532835233975619,0.6296868960185543,0.5911093311974369,1
ZNF644,0.5524970507274872,0.6285272516428295,0.6031237484981978,1
ILF3,0.5524970507274872,0.5898724391186703,0.5350420504605526,1
IRF4,0.5521038143924498,0.5775028991109393,0.5010012014417301,1
EED,0.5517105780574125,0.4994201778121376,0.5482579094913896,1
HEY1,0.5517105780574125,0.5527638190954773,0.4881858229875851,1
ZHX1,0.5513173417223751,0.5168148434480093,0.5590708850620745,1
ETV5,0.5513173417223751,0.5794356397371473,0.5322386864237084,1
MBD1,0.5513173417223751,0.509470429068419,0.499399279134962,1
CD36,0.5509241053873378,0.5086973328179358,0.5442531037244693,1
GTF2F1,0.5509241053873378,0.4951681484344801,0.5310372446936323,1
RELB,0.5501376327172631,0.45032856590645537,0.5598718462154586,1
ZBTB7A,0.5501376327172631,0.509470429068419,0.4569483380056068,1
SMARCA4,0.5501376327172631,0.5214534209509084,0.5066079295154186,1
HIF1A,0.5497443963822257,0.4248163896405102,0.4645574689627553,1
TCF3,0.5497443963822257,0.5523772709702358,0.4909891870244293,1
BCLAF1,0.548957923712151,0.5450328565906455,0.6003203844613536,1
hsa-miR-19a-3p|0,0.548957923712151,0.3726323927328952,0.5174209050861033,1
GTF3C5,0.548957923712151,0.4248163896405102,0.4112935522627153,1
HBP1,0.5481714510420763,0.4735214534209509,0.6043251902282739,1
MAFF,0.5477782147070389,0.4708156165442597,0.4088906688025631,1
AHR,0.5477782147070389,0.4967143409354465,0.4417300760913096,1
ZBTB25,0.5469917420369642,0.5272516428295323,0.5662795354425311,1
TET1,0.5469917420369642,0.4862775415539234,0.553464156988386,1
CLOCK,0.5465985057019268,0.5879396984924623,0.5991189427312775,1
EHMT2,0.5465985057019268,0.3764978739853112,0.4152983580296356,1
NR2C1,0.5462052693668895,0.5052183996907615,0.5162194633560272,1
SNAI2,0.5462052693668895,0.5369153459605721,0.4909891870244293,1
ZBED5,0.5458120330318521,0.4665635871666022,0.4889867841409692,1
IKZF1,0.5458120330318521,0.5802087359876305,0.4769723668402083,1
NR2F2,0.5450255603617774,0.4472361809045226,0.4789747697236684,1
GFI1,0.5446323240267401,0.3258600695786625,0.4281137364837805,1
UBTF,0.5442390876917027,0.4858909934286818,0.5150180216259511,1
SRF,0.5442390876917027,0.647081561654426,0.578293952743292,1
hsa-miR-203a-3p|+1,0.5442390876917027,0.4893699265558562,0.4921906287545054,1
STAG2,0.5442390876917027,0.5048318515655199,0.5186223468161795,1
SDC4,0.5438458513566654,0.5063780440664862,0.4329195034040849,1
E2F8,0.543452615021628,0.5268650947042907,0.5230276331597917,1
ZNF24,0.543452615021628,0.4746810977966757,0.3740488586303564,1
TARDBP,0.543452615021628,0.5106300734441438,0.4329195034040849,1
SP140,0.5430593786865906,0.4286818708929261,0.5282338806567881,1
MYCN,0.5430593786865906,0.5500579822187862,0.4805766920304365,1
PATZ1,0.5430593786865906,0.450715114031697,0.4849819783740489,1
HINFP,0.5426661423515533,0.4522613065326633,0.4929915899078895,1
ZNF394,0.5426661423515533,0.6594511016621569,0.5322386864237084,1
NCOR2,0.5422729060165159,0.536142249710089,0.6287545054064878,1
CDK2,0.5422729060165159,0.44684963277928097,0.4409291149379255,1
MEN1,0.5422729060165159,0.4518747584074218,0.5382458950740889,1
ESR1,0.5418796696814786,0.5106300734441438,0.5604725670804966,1
TFAP4,0.5418796696814786,0.5040587553150367,0.4433319983980777,1
GATA6,0.5418796696814786,0.5543100115964438,0.4509411293552263,1
HEYL,0.5414864333464412,0.647081561654426,0.5843011613936724,1
CDK8,0.5414864333464412,0.44878237340548904,0.5206247496996396,1
APC,0.5414864333464412,0.5110166215693854,0.540248297957549,1
MLLT1,0.5410931970114039,0.5751836103594897,0.5050060072086504,1
TFE3,0.5406999606763665,0.4947816003092385,0.5750901081297557,1
hsa-miR-29b-3p|0,0.5406999606763665,0.6215693853884808,0.5366439727673208,1
ITGA3,0.5399134880062918,0.5017394665635871,0.5206247496996396,1
GLI2,0.5395202516712544,0.5052183996907615,0.5590708850620745,1
ZKSCAN8,0.5395202516712544,0.5643602628527251,0.5070084100921105,1
MTA2,0.5395202516712544,0.4789331271743332,0.5178213856627953,1
FANCD2,0.5391270153362171,0.5083107846926942,0.5122146575891069,1
TCF25,0.5387337790011797,0.561654425976034,0.4120945134160993,1
hsa-miR-19b-3p|0,0.5387337790011797,0.3749516814843448,0.5266319583500201,1
SMARCB1,0.5383405426661424,0.5693853884808658,0.5162194633560272,1
JMJD1C,0.5383405426661424,0.4882102821801314,0.5835002002402884,1
EZH1,0.5383405426661424,0.4538074990336297,0.3616339607529035,1
THBS2,0.5375540699960676,0.45728643216080395,0.5490588706447738,1
COL1A1,0.5375540699960676,0.4398917665249323,0.5662795354425311,1
PHF2,0.5375540699960676,0.6188635485117897,0.6139367240688827,1
ZNF600,0.5375540699960676,0.6064940085040588,0.5070084100921105,1
MEF2C,0.5375540699960676,0.4684963277928102,0.5526631958350021,1
LEF1,0.5375540699960676,0.4337069965210669,0.4509411293552263,1
IKZF5,0.5371608336610303,0.5048318515655199,0.5895074088906688,1
LAMA2,0.5371608336610303,0.5133359103208349,0.5530636764116941,1
TRIM22,0.5367675973259929,0.3807499033629687,0.5346415698838606,1
MYB,0.5367675973259929,0.5415539234634712,0.5967160592711254,1
RARA,0.5363743609909556,0.5369153459605721,0.579094913896676,1
RING1,0.5363743609909556,0.6350985697719366,0.5330396475770925,1
FOXP2,0.5359811246559182,0.4878237340548898,0.4361233480176212,1
SCML2,0.5359811246559182,0.5210668728256668,0.5414497396876251,1
hsa-let-7g-3p|0,0.5359811246559182,0.5210668728256668,0.5146175410492592,1
PRPF4,0.5359811246559182,0.5338229609586393,0.4905887064477373,1
DDX21,0.5359811246559182,0.4638577502899111,0.4329195034040849,1
hsa-miR-96-5p|0,0.5359811246559182,0.6447622729029764,0.5322386864237084,1
MYBL2,0.5351946519858435,0.4545805952841129,0.4317180616740088,1
HDAC6,0.5351946519858435,0.4321608040201005,0.4060873047657189,1
NCAPH2,0.5348014156508062,0.4712021646695014,0.4609531437725271,1
KLF9,0.5348014156508062,0.44684963277928097,0.4753704445334401,1
THAP11,0.5348014156508062,0.4855044453034403,0.499399279134962,1
NCOR1,0.5348014156508062,0.4557402396598377,0.4625550660792952,1
SRC,0.5348014156508062,0.40394279087746426,0.5234281137364838,1
PDHX,0.5344081793157688,0.5191341321994588,0.6219463356027233,1
NFATC1,0.5340149429807314,0.4982605334364129,0.6035242290748899,1
EGR2,0.5340149429807314,0.5376884422110553,0.5042050460552663,1
HDAC1,0.5336217066456941,0.4858909934286818,0.4905887064477373,1
ITGA7,0.5332284703106567,0.540780827212988,0.6267521025230276,1
SOX17,0.5332284703106567,0.4379590258987244,0.4269122947537045,1
TEAD1,0.5328352339756194,0.4321608040201005,0.447336804164998,1
SOX13,0.5328352339756194,0.6331658291457286,0.4949939927913497,1
SSRP1,0.5328352339756194,0.4967143409354465,0.4917901481778134,1
NOTCH3,0.532441997640582,0.5674526478546579,0.5939126952342811,1
hsa-miR-194-5p|-1,0.5320487613055447,0.4375724777734828,0.5951141369643572,1
MECOM,0.5320487613055447,0.5705450328565906,0.5682819383259912,1
ITGA1,0.5320487613055447,0.5419404715887128,0.5082098518221866,1
E2F4,0.5316555249705073,0.5079242365674527,0.5758910692831398,1
ATF2,0.5316555249705073,0.4182450715114032,0.4377252703243893,1
EP300,0.5312622886354699,0.4974874371859296,0.4901882258710453,1
RAD51,0.5312622886354699,0.5570158484731349,0.5094112935522627,1
SREBF1,0.5312622886354699,0.5581754928488597,0.4977973568281938,1
WRNIP1,0.5312622886354699,0.6428295322767684,0.5458550260312375,1
CBFA2T3,0.5308690523004326,0.3478933127174333,0.43492190628754507,1
LMNA,0.5308690523004326,0.5925782759953614,0.5254305166199439,1
E4F1,0.5304758159653952,0.4367993815229996,0.433720464557469,1
MCM7,0.5304758159653952,0.4986470815616544,0.5254305166199439,1
TP53BP1,0.5304758159653952,0.5264785465790491,0.5927112535042051,1
MECP2,0.5304758159653952,0.5411673753382296,0.6215458550260312,1
ZFHX2,0.5304758159653952,0.4777734827986084,0.5182218662394874,1
NONO,0.5296893432953205,0.5059914959412447,0.4429315178213857,1
TBL1XR1,0.5296893432953205,0.4882102821801314,0.5943131758109732,1
TRPS1,0.5296893432953205,0.4128333977580209,0.4917901481778134,1
ITGB7,0.5292961069602832,0.4607653652879784,0.486984381257509,1
MIER3,0.5292961069602832,0.4313877077696173,0.3796555867040449,1
ERCC2,0.5292961069602832,0.5423270197139544,0.553464156988386,1
NBN,0.5289028706252458,0.6258214147661384,0.6371645975170204,1
DDX5,0.5285096342902084,0.5767298028604562,0.6039247096515818,1
NCOA1,0.5285096342902084,0.5574023965983765,0.5839006808169803,1
ITGA6,0.5281163979551711,0.4456899884035562,0.4253103724469363,1
RBM22,0.5281163979551711,0.5775028991109393,0.5614737685222266,1
HAND2,0.5277231616201337,0.5023192887514496,0.4929915899078895,1
E2F7,0.5277231616201337,0.419404715887128,0.5246295554665599,1
THBS3,0.5277231616201337,0.5709315809818323,0.6247496996395675,1
IKZF2,0.5277231616201337,0.4267491302667182,0.4457348818582299,1
REST,0.5273299252850964,0.4143795902589872,0.4048858630356428,1
KMT2A,0.5273299252850964,0.5137224584460766,0.5062074489387265,1
ZNF48,0.5273299252850964,0.4851178971781987,0.5234281137364838,1
SPI1,0.5273299252850964,0.5214534209509084,0.4793752503003604,1
TBP,0.526936688950059,0.534209509083881,0.4853824589507409,1
ATF7,0.526936688950059,0.4588326246617704,0.512615138165799,1
DCP1A,0.526936688950059,0.6227290297642056,0.5867040448538245,1
STAG1,0.5265434526150217,0.44491689215307306,0.4829795754905887,1
KAT8,0.5265434526150217,0.5987630459992269,0.5078093712454946,1
COL6A1,0.5261502162799843,0.4858909934286818,0.5454545454545454,1
BCOR,0.5261502162799843,0.542713567839196,0.4701641970364437,1
PPARD,0.5261502162799843,0.5005798221878623,0.5234281137364838,1
hsa-miR-148a-3p|0,0.5261502162799843,0.517974487823734,0.5142170604725671,1
SON,0.525756979944947,0.5187475840742173,0.44773728474169,1
NIPBL,0.525756979944947,0.5419404715887128,0.4669603524229075,1
NELFA,0.525756979944947,0.5438732122149208,0.44373247897476975,1
ZNF692,0.5249705072748722,0.3069192114418245,0.342010412494994,1
KMT2B,0.5249705072748722,0.5933513722458446,0.5438526231477774,1
HNRNPLL,0.5249705072748722,0.5056049478160031,0.5802963556267521,1
ZFP91,0.5245772709398349,0.592964824120603,0.6347617140568682,1
hsa-miR-200b-3p|+1,0.5245772709398349,0.4530344027831465,0.527032438926712,1
hsa-miR-335-3p|0,0.5241840346047975,0.5655199072284499,0.4845814977973568,1
ZNF384,0.5241840346047975,0.4932354078082721,0.5450540648778535,1
hsa-miR-92a-3p|+2,0.5241840346047975,0.5059914959412447,0.5034040849018823,1
SMARCE1,0.5237907982697602,0.6246617703904136,0.5442531037244693,1
SMAD2,0.5237907982697602,0.4008504058755315,0.39247096515818986,1
GABPA,0.5233975619347228,0.5871666022419791,0.5254305166199439,1
CREM,0.5233975619347228,0.4599922690374952,0.513015618742491,1
SMAD3,0.5230043255996855,0.44375724777734826,0.4917901481778134,1
HMMR,0.5230043255996855,0.6010823347506764,0.5830997196635963,1
FLI1,0.5226110892646479,0.5601082334750677,0.4845814977973568,1
PRDM6,0.5222178529296106,0.4974874371859296,0.5074088906688026,1
VWF,0.5222178529296106,0.5504445303440278,0.5646776131357629,1
ORC2,0.5222178529296106,0.4352531890220333,0.5150180216259511,1
ZKSCAN1,0.5222178529296106,0.5249323540780827,0.4565478574289147,1
NFE2L2,0.5222178529296106,0.4862775415539234,0.4385262314777733,1
SV2A,0.5218246165945734,0.4947816003092385,0.499399279134962,1
TRIM24,0.521431380259536,0.4681097796675686,0.5098117741289547,1
TWIST1,0.521431380259536,0.4549671434093545,0.5346415698838606,1
ZNF680,0.521431380259536,0.5589485890993429,0.5034040849018823,1
MAFB,0.5210381439244987,0.4893699265558562,0.5194233079695635,1
KMT2C,0.5210381439244987,0.5206803247004252,0.5094112935522627,1
ITGA11,0.5210381439244987,0.4963277928102049,0.5354425310372447,1
BRD9,0.5210381439244987,0.6463084654039428,0.6515818982779336,1
HDGF,0.5206449075894612,0.4379590258987244,0.5054064877853424,1
THBS1,0.5206449075894612,0.5260919984538075,0.5502603123748498,1
hsa-miR-30e-5p|+1,0.5206449075894612,0.4221105527638191,0.4833800560672808,1
KDM5B,0.5206449075894612,0.4248163896405102,0.5931117340808971,1
CTBP1,0.520251671254424,0.5318902203324314,0.4889867841409692,1
PAX5,0.5200550530869053,0.4476227290297642,0.5228273928714458,1
GLI3,0.5198584349193865,0.4932354078082721,0.5170204245094113,1
HMG20A,0.5198584349193865,0.5253189022033243,0.5310372446936323,1
BMI1,0.5194651985843491,0.5056049478160031,0.5046055266319583,1
PML,0.5190719622493118,0.4545805952841129,0.5678814577492992,1
EP400,0.5190719622493118,0.4584460765365288,0.5734881858229876,1
EZH2,0.5190719622493118,0.4878237340548898,0.5622747296756108,1
COL1A2,0.5186787259142744,0.4576729802860456,0.5430516619943933,1
hsa-miR-425-5p|0,0.5182854895792371,0.5083107846926942,0.472967561073288,1
INTS12,0.5178922532441997,0.6841901816776189,0.5975170204245094,1
hsa-miR-7-1-3p|0,0.5178922532441997,0.5202937765751836,0.4817781337605126,1
CPSF3,0.5178922532441997,0.4472361809045226,0.4489387264717661,1
ITGA4,0.5178922532441997,0.5438732122149208,0.5254305166199439,1
COL6A2,0.5174990169091624,0.492462311557789,0.5694833800560672,1
ETS1,0.5174990169091624,0.4483958252802474,0.4373247897476972,1
RAD21,0.5174990169091624,0.44955546965597215,0.5867040448538245,1
SP5,0.5174990169091624,0.5005798221878623,0.4753704445334401,1
SMARCA2,0.5171057805741249,0.4692694240432934,0.5034040849018823,1
NRIP1,0.5171057805741249,0.3734054889833784,0.3840608730476572,1
MXD4,0.5163193079040503,0.5187475840742173,0.5490588706447738,1
COL4A1,0.5163193079040503,0.5257054503285659,0.5294353223868642,1
hsa-miR-30b-5p|0,0.5159260715690129,0.38848086586780056,0.5090108129755707,1
BCL11A,0.5155328352339756,0.467723231542327,0.40208249899879855,1
LAMB2,0.5155328352339756,0.5125628140703518,0.5434521425710853,1
PIAS1,0.5155328352339756,0.5144955546965597,0.5086103323988787,1
ATF1,0.5155328352339756,0.38422883649014294,0.4457348818582299,1
ZNF281,0.5151395988989382,0.40858136838036335,0.4589507408890669,1
hsa-miR-142-3p|+1,0.5143531262288635,0.4735214534209509,0.5851021225470565,1
HDAC8,0.5139598898938262,0.4731349052957093,0.486183420104125,1
MNT,0.5139598898938262,0.5871666022419791,0.527032438926712,1
SUZ12,0.5139598898938262,0.3764978739853112,0.3984781738085703,1
TEAD4,0.5139598898938262,0.5125628140703518,0.5730877052462956,1
KLF12,0.5135666535587888,0.5025125628140703,0.5178213856627953,1
SMAD1,0.5135666535587888,0.3587166602241979,0.4301161393672407,1
EGLN2,0.5131734172237514,0.4422110552763819,0.4072887464957949,1
SETX,0.5131734172237514,0.5195206803247004,0.5194233079695635,1
ZNF823,0.5131734172237514,0.5577889447236181,0.6083299959951942,1
ZNF140,0.5131734172237514,0.5504445303440278,0.43412094513416105,1
STAT1,0.5127801808887141,0.40703517587939697,0.4953944733680417,1
AR,0.5123869445536767,0.5237727097023579,0.5154185022026432,1
CDK7,0.5123869445536767,0.5400077309625049,0.5726872246696035,1
GTF2B,0.5123869445536767,0.540780827212988,0.6267521025230276,1
EBF3,0.5123869445536767,0.49903362968689596,0.5210252302763316,1
SRSF3,0.5119937082186394,0.5647468109779668,0.6111333600320384,1
ZNF407,0.5119937082186394,0.5519907228449942,0.4929915899078895,1
TET2,0.5119937082186394,0.5373018940858136,0.565078093712455,1
COL4A2,0.511600471883602,0.5539234634712021,0.5418502202643172,1
TEAD3,0.511600471883602,0.3950521839969076,0.5086103323988787,1
FUS,0.511600471883602,0.6559721685349826,0.5530636764116941,1
CBX3,0.511600471883602,0.5326633165829145,0.4581497797356828,1
hsa-miR-148a-3p|-1,0.5102241447109713,0.4824120603015075,0.5530636764116941,1
TNC,0.5100275265434526,0.4317742558948589,0.4929915899078895,1
ZNF592,0.5096342902084152,0.5148821028218014,0.6219463356027233,1
PPARG,0.5096342902084152,0.5431001159644375,0.5698838606327593,1
GRHL2,0.5096342902084152,0.5392346347120216,0.4913896676011214,1
ME3,0.5092410538733779,0.5666795516041747,0.5062074489387265,1
EOMES,0.5090444357058592,0.4532276768457673,0.5096115338406088,1
MITF,0.5088478175383405,0.4511016621569385,0.4661593912695234,1
ZFHX3,0.5088478175383405,0.5848473134905295,0.4221065278334001,1
DTL,0.5088478175383405,0.4681097796675686,0.4429315178213857,1
RBFOX2,0.5080613448682658,0.4267491302667182,0.4673608329995995,1
FOXN3,0.5076681085332285,0.4638577502899111,0.4913896676011214,1
HCFC1,0.5076681085332285,0.5048318515655199,0.5174209050861033,1
PHF5A,0.5076681085332285,0.4681097796675686,0.4553464156988386,1
hsa-miR-335-3p|-1,0.5072748721981911,0.5481252415925782,0.487384861834201,1
NCOA2,0.5072748721981911,0.4882102821801314,0.5835002002402884,1
ARID2,0.5068816358631537,0.3857750289911094,0.4613536243492191,1
WDR5,0.506095163193079,0.3880943177425589,0.39527432919503397,1
hsa-miR-106b-5p|0,0.506095163193079,0.5802087359876305,0.4625550660792952,1
RNGTT,0.506095163193079,0.4789331271743332,0.4397276732078495,1
LMNB1,0.5057019268580417,0.6235021260146888,0.4669603524229075,1
RUNX3,0.504915454187967,0.549284885968303,0.6043251902282739,1
LAMB3,0.5045222178529296,0.5608813297255508,0.5002002402883461,1
MSC,0.5037357451828549,0.4565133359103208,0.5566680016019223,1
ZC3H8,0.5037357451828549,0.4545805952841129,0.4905887064477373,1
hsa-miR-16-5p|0,0.5037357451828549,0.5450328565906455,0.4841810172206648,1
