hsa-miR-210-3p|0 0.6477187733732236
hsa-miR-200a-5p|0 0.6331338818249813
hsa-miR-532-5p|0 0.5968586387434555
hsa-miR-26b-5p|0 0.5949887808526552
hsa-miR-200b-3p|0 0.5882572924457741
hsa-miR-145-5p|0 0.5833956619296934
hsa-miR-21-3p|0 0.5833956619296934
hsa-miR-26a-5p|0 0.5729244577412117
hsa-miR-126-3p|0 0.5721765145848915
hsa-miR-141-3p|0 0.5714285714285714
hsa-miR-200a-3p|0 0.5706806282722513
hsa-miR-30d-5p|0 0.5706806282722513
hsa-let-7e-5p|0 0.5639491398653702
hsa-miR-374a-3p|0 0.56245325355273
hsa-miR-25-3p|0 0.5620792819745699
hsa-miR-141-5p|0 0.5617053103964099
hsa-miR-99b-5p|0 0.5617053103964099
hsa-miR-93-5p|0 0.5605833956619297
hsa-miR-194-5p|0 0.5553477935676888
hsa-miR-10b-5p|0 0.5534779356768885
hsa-miR-20a-5p|0 0.5534779356768885
hsa-miR-92a-3p|0 0.5516080777860882
hsa-miR-10a-5p|-1 0.5489902767389678
hsa-miR-1307-3p|0 0.5489902767389678
hsa-miR-203a-3p|0 0.5486163051608077
hsa-miR-30e-5p|0 0.5471204188481675
hsa-miR-143-3p|0 0.5452505609573672
hsa-miR-23a-3p|0 0.5422587883320867
hsa-miR-100-5p|0 0.5415108451757666
hsa-miR-17-5p|0 0.5403889304412864
hsa-miR-203a-3p|+1 0.5392670157068062
hsa-miR-29a-3p|0 0.5392670157068062
hsa-miR-375|0 0.5381451009723262
hsa-miR-192-5p|+1 0.537023186237846
hsa-miR-27a-3p|0 0.537023186237846
hsa-miR-22-3p|0 0.5366492146596858
hsa-miR-29b-3p|0 0.5347793567688855
hsa-miR-23b-3p|0 0.5344053851907256
hsa-let-7g-5p|0 0.5329094988780853
hsa-miR-140-3p|+1 0.531787584143605
hsa-miR-30e-3p|0 0.5302916978309649
hsa-miR-199a-3p|+1 0.5299177262528048
hsa-miR-199b-3p|+1 0.5295437546746448
hsa-miR-30a-3p|0 0.5291697830964847
hsa-miR-27b-3p|0 0.525056095736724
hsa-miR-183-5p|0 0.524682124158564
hsa-let-7b-5p|0 0.5243081525804039
hsa-miR-10a-5p|0 0.5239341810022439
hsa-let-7a-5p|0 0.5235602094240838
hsa-miR-143-3p|-1 0.5231862378459237
hsa-miR-199a-5p|0 0.5231862378459237
hsa-miR-30a-5p|0 0.5220643231114436
hsa-miR-379-5p|0 0.5213163799551234
hsa-miR-151a-3p|0 0.5205684367988033
hsa-miR-101-3p|0 0.5201944652206433
hsa-miR-183-5p|+1 0.518698578908003
hsa-miR-320a|0 0.5168287210172027
hsa-let-7f-5p|0 0.5157068062827225
hsa-miR-1307-3p|+1 0.5157068062827225
hsa-miR-196b-5p|0 0.5149588631264024
hsa-miR-10a-5p|+1 0.5142109199700823
hsa-miR-181a-2-3p|0 0.5134629768137622
hsa-miR-191-5p|0 0.5112191473448018
hsa-miR-28-3p|0 0.5112191473448018
hsa-miR-21-5p|0 0.5108451757666418
hsa-miR-101-3p|-1 0.5100972326103216
hsa-miR-127-3p|0 0.5100972326103216
hsa-miR-142-3p|+1 0.5097232610321616
hsa-miR-146b-5p|0 0.5089753178758414
hsa-miR-29a-3p|-1 0.5067314884068811
hsa-miR-200c-3p|0 0.505983545250561
hsa-miR-182-5p|0 0.5044876589379207
hsa-miR-378a-3p|0 0.5033657442034405
hsa-miR-16-5p|0 0.5014958863126402
hsa-miR-22-3p|+1 0.49850411368735975
hsa-miR-199a-3p|0 0.49588631264023936
hsa-miR-199b-3p|0 0.49588631264023936
hsa-miR-148a-3p|0 0.4887808526551982
hsa-miR-29c-3p|0 0.48728496634255797
hsa-miR-192-5p|0 0.4869109947643979
hsa-miR-30e-5p|+1 0.4850411368735976
hsa-miR-181a-5p|0 0.48130142109199703
hsa-miR-375|+1 0.4738219895287958
hsa-miR-10b-5p|+1 0.4655946148092745
hsa-miR-24-3p|0 0.456245325355273
hsa-miR-103a-3p|0 0.4551234106207928
